"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","47uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C2","1","10uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"D1","1","LED","","","","LED_THT:LED_D5.0mm","~"
"J1","1","POWER INPUT","","","","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal","~"
"R1,R2,R3,R4,R5","5","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R6","1","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"SW1","1","PAUSE","","","","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","~"
"SW2","1","PREV","","","","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","~"
"SW3","1","NEXT","","","","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","~"
"SW4","1","V+","","","","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","~"
"SW5","1","V-","","","","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","~"
"U1","1","ESP32_DevKit_V1_DOIT","","","","esp32_devkit_v1_doit:esp32_devkit_v1_doit",""
"U2","1","~","","","","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical",""
