Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D6.3mm_P2.50mm,1,47uF,
C2,CP_Radial_D6.3mm_P2.50mm,1,10uF,
D1,LED_D5.0mm,1,LED,
J1,BarrelJack_CUI_PJ-102AH_Horizontal,1,POWER INPUT,
"R1, R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,5,10k,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
SW1,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,PAUSE,
SW2,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,PREV,
SW3,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,NEXT,
SW4,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,V+,
SW5,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,V-,
U1,esp32_devkit_v1_doit,1,ESP32_DevKit_V1_DOIT,
U2,PinSocket_1x07_P2.54mm_Vertical,1,~,
