Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,47pF,
C10_2,0805,1,10uF,
"C10, C6, C7",CP_Elec_6.3x5.4,3,47uF,
"C11_2, C11, C12, C16, C3, C4, C5, C8, C9",0805,9,0.1uF,
"C13, C14",0805,2,220pF,
D1,0805,1,POWER (RED),
J2,BarrelJack_CUI_PJ-102AH_Horizontal,1,POWER INPUT,
"Q1, Q2",SOT-23,2,MMBT3904,
"R1, R12, R2, R3, R4, R7, R8, R9",0805,8,10k,
"R10, R11, R13, R14",0805,4,330,
R15,0805,1,1M,
"R5, R6",0805,2,27,
RX1,0805,1,(GREEN),
SPEAKER,TerminalBlock_RND_205-00232_1x02_P5.08mm_Horizontal,1,SPEAKER,
SW1,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,PAUSE,
SW2,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,PREV,
SW3,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,NEXT,
SW4,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,V+,
SW5,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,1,V-,
SW6,SKQYAAE010,1,RESET,
TX1,0805,1,(AMBER),
U1,SSOP-20_3.9x8.7mm_P0.635mm,1,FT231XS,
U2,ESP32-WROOM-32D,1,ESP32-WROOM-32E,
U3,TO-252-2,1,NCP1117,
U4,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,
USB,USB_Mini-B_Wuerth_65100516121_Horizontal,1,USB_B_Mini,
USER1,0805,1,(RED),
