Designator,Mid X,Mid Y,Rotation,Layer
C1,156.21,-142.814,90.0,top
C10_2,93.472,-141.478,270.0,top
C10,95.758,-127.762,0.0,top
C11_2,144.526,-138.43,270.0,top
C11,102.174,-109.474,0.0,top
C12,121.412,-94.488,90.0,top
C13,92.456,-109.982,270.0,top
C14,85.852,-109.474,270.0,top
C16,102.87,-128.524,270.0,top
C2,148.59,-142.748,90.0,top
C3,140.97,-138.43,270.0,top
C4,148.082,-110.744,270.0,top
C5,121.412,-98.806,90.0,top
C6,86.614,-135.382,270.0,top
C7,78.74,-135.382,270.0,top
C8,88.392,-99.822,90.0,top
C9,117.856,-98.806,270.0,top
D1,157.48,-134.7705,90.0,top
J2,81.102,-148.438,0.0,top
Q1,152.974,-116.1565,270.0,top
Q2,157.3045,-116.012,270.0,top
R1,136.652,-138.811,0.0,top
R10,142.748,-124.714,270.0,top
R11,139.192,-124.714,270.0,top
R12,114.554,-98.806,270.0,top
R13,153.924,-97.79,90.0,top
R14,157.48,-129.794,90.0,top
R15,91.186,-98.552,270.0,top
R2,153.924,-120.904,90.0,top
R3,156.972,-120.904,270.0,top
R4,136.652,-135.509,0.0,top
R5,153.67,-143.3595,90.0,top
R6,151.384,-143.3595,90.0,top
R7,116.9435,-131.318,180.0,top
R8,116.9435,-134.62,180.0,top
R9,116.9435,-137.922,180.0,top
RX1,150.368,-124.714,90.0,top
SPEAKER,81.529,-97.3245,0.0,top
SW1,141.244,-151.371,180.0,top
SW2,129.814,-151.371,180.0,top
SW3,118.384,-151.371,180.0,top
SW4,106.954,-151.371,180.0,top
SW5,95.524,-151.371,180.0,top
SW6,103.632,-96.012,0.0,top
TX1,147.574,-124.714,90.0,top
U1,150.368,-133.096,180.0,top
U2,135.522,-101.468,0.0,top
U3,98.713,-135.127,0.0,top
U4,91.5265,-102.882,270.0,top
USB,153.162,-150.867,0.0,top
USER1,153.924,-102.362,90.0,top
